N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
12864,591804,1,2,0,2,1,2
14464,591971,0,2,0,2,0,2
16064,592100,0,2,1,2,1,2
17664,592332,0,2,0,2,0,2
19264,591662,0,2,0,2,0,2
20864,592558,0,2,0,2,0,2
22464,592747,0,2,0,2,0,2
24064,593355,0,2,0,2,0,2
25664,593432,0,2,0,2,0,2
27264,594151,1,2,0,2,1,2
28864,593674,0,2,0,2,0,2
30464,595304,1,2,1,2,0,2
32064,594842,0,2,0,2,0,2
33664,594580,0,2,1,2,1,2
35264,595147,0,2,0,2,0,2
36864,594878,0,2,0,2,0,2
38464,595718,0,2,0,2,0,2
40064,595722,0,2,0,2,0,2
41664,596542,0,2,0,2,0,2
43264,596377,0,2,0,2,0,2
44864,597208,1,2,0,2,1,2
46464,596731,0,2,0,2,0,2
48064,596506,0,2,1,2,1,2
49664,597706,0,2,0,2,0,2
51264,597680,0,2,0,2,0,2
52864,597997,0,2,0,2,0,2
54464,597903,0,2,0,2,0,2
56064,598438,0,2,0,2,0,2
57664,599333,0,2,0,2,0,2
59264,599559,0,2,0,2,0,2
60864,599499,0,2,0,2,0,2
62464,599695,0,2,0,2,0,2
64064,599848,0,2,0,2,0,2
65664,601219,1,2,0,2,0,2
67264,600406,0,2,1,2,0,2
68864,600555,0,2,0,2,0,2
70464,601290,0,2,0,2,0,2
72064,601561,0,2,0,2,0,2
73664,601927,0,2,0,2,0,2
75264,602090,0,2,0,2,0,2
76864,602014,0,2,0,2,0,2
78464,602335,0,2,0,2,0,2
80064,602784,1,2,0,2,0,2
96064,605792,0,2,1,2,0,2
112064,607182,0,2,0,2,0,2
128064,610935,0,2,0,2,0,2
144064,614503,0,6,0,2,0,2
160064,615759,0,2,0,2,0,2
176064,619170,0,2,0,2,0,2
192064,622161,0,2,0,2,0,2
208064,624846,0,2,0,2,0,2
224064,627669,1,2,0,2,0,2
240064,629200,0,2,1,2,0,2
256064,633523,1,2,0,2,0,2
272064,633921,0,2,0,2,0,2
288064,639904,0,6,0,2,0,2
304064,640744,0,2,0,2,0,2
320064,643103,0,2,0,2,0,2
336064,645536,0,2,0,2,0,2
352064,648399,0,2,0,2,0,2
368064,654296,1,2,0,2,0,2
384064,653741,0,2,0,2,0,2
400064,657212,1,2,0,2,0,2
416064,659565,0,2,1,2,1,2
432064,666220,0,6,0,2,0,2
448064,665349,0,2,0,2,0,2
464064,665717,0,2,0,2,0,2
480064,668845,0,2,0,2,0,2
496064,672171,0,2,0,2,0,2
512064,673756,0,2,0,2,0,2
528064,677193,0,2,0,2,0,2
544064,685586,1,2,0,2,0,2
560064,682719,0,2,1,2,0,2
576064,694990,0,6,0,2,0,2
592064,687983,0,2,0,2,0,2
608064,690679,0,2,0,2,0,2
624064,693990,0,2,0,2,0,2
640064,697638,0,2,0,2,0,2
656064,699753,0,2,1,2,1,2
672064,700741,0,2,0,2,0,2
688064,703629,0,2,0,2,0,2
704064,705851,0,2,0,2,0,2
720064,752144,1,5,0,2,0,2
736064,718810,0,2,0,2,0,2
752064,718935,0,2,0,2,0,2
768064,719593,0,2,1,2,1,2
784064,721811,0,2,0,2,0,2
800064,726385,0,2,1,2,1,2
960064,766670,1,41,0,2,0,2
1120064,799772,0,41,0,2,0,2
1280064,841743,1,41,0,2,0,2
1440064,889296,1,41,0,2,0,2
1600064,937804,0,41,0,2,0,2
1760064,1043414,0,41,0,2,0,2
1920064,1110748,0,41,1,2,1,2
2080064,1281507,2,41,0,2,0,2
2240064,1267054,1,42,1,2,1,2
2400064,1438910,2,41,0,2,0,2
2560064,1521042,0,41,0,2,0,2
2720064,1609872,1,41,0,2,0,2
2880064,1723059,1,41,0,2,0,2
3040064,1865806,0,41,0,2,0,2
3200064,0,1,41,1,2,1,2
3360064,2070628,1,41,1,2,1,2
3520064,0,1,41,1,2,1,2
3680064,2310664,0,41,1,2,1,2
3840064,2536319,0,41,0,2,0,2
4000064,2644893,1,41,0,2,0,2
4160064,2805834,1,41,0,2,0,2
4320064,2971146,1,41,0,2,0,2
4480064,3189060,1,41,1,2,0,2
4640064,3214342,0,41,1,2,1,2
4800064,0,0,42,1,2,1,2
4960064,0,0,41,1,2,1,2
5120064,3751242,1,41,1,2,1,2
5280064,4151280,1,41,0,2,0,2
5440064,4152266,1,41,1,2,1,2
5600064,4398800,1,41,0,2,0,2
5760064,4608460,0,41,0,2,0,2
5920064,4764558,2,41,1,2,1,2
6080064,5025786,1,41,1,2,0,2
6240064,0,1,41,1,2,1,2
6400064,0,1,41,1,2,1,2
6560064,5494446,1,41,1,2,1,2
6720064,0,1,41,1,2,1,2
6880064,5810400,0,41,1,2,1,2
7040064,6016913,1,41,0,2,0,2
7200064,0,1,41,1,2,1,2
7360064,6354270,1,42,1,2,1,2
7520064,0,1,41,1,2,1,2
7680064,6695677,1,41,0,2,1,2
7840064,0,1,41,1,2,1,2
8000064,0,1,41,2,2,1,2
9600064,0,2,392,2,2,2,2
11200064,0,2,393,3,2,2,2
12800064,0,2,393,4,2,3,2
14400064,0,2,392,4,2,4,2
